kode,symbol,date,price
JAMBI,MSFT,1985,344905
JAMBI,MSFT,1990,473434
JAMBI,MSFT,1995,482795
JAMBI,MSFT,2000,566153
JAMBI,MSFT,2005,551469
JAMBI,MSFT,2010,738961
JAMBI,MSFT,2015,710428
JATENG,MSFT,1971,260308
JATENG,MSFT,1980,350724
JATENG,MSFT,1985,530385
JATENG,MSFT,1990,516315
JATENG,MSFT,1995,672978
JATENG,MSFT,2000,708308
JATENG,MSFT,2005,741588
JATENG,MSFT,2010,902711
JATENG,MSFT,2015,1015615
JATIM,MSFT,1971,297948
JATIM,MSFT,1980,465949
JATIM,MSFT,1985,567143
JATIM,MSFT,1990,575541
JATIM,MSFT,1995,808995
JATIM,MSFT,2000,781590
JATIM,MSFT,2005,660663
JATIM,MSFT,2010,925510
JATIM,MSFT,2015,924152
KALBAR,MSFT,1971,24342
KALBAR,MSFT,1980,112244
KALBAR,MSFT,1985,85164
KALBAR,MSFT,1990,199829
KALBAR,MSFT,1995,250617
KALBAR,MSFT,2000,269722
KALBAR,MSFT,2005,263080
KALBAR,MSFT,2010,293229
KALBAR,MSFT,2015,293992
KALSEL,MSFT,1971,67285
KALSEL,MSFT,1980,145417
KALSEL,MSFT,1985,182663
KALSEL,MSFT,1990,274745
KALSEL,MSFT,1995,321955
KALSEL,MSFT,2000,360324
KALSEL,MSFT,2005,400562
KALSEL,MSFT,2010,487245
KALSEL,MSFT,2015,509967
KALTENG,MSFT,1971,50235
KALTENG,MSFT,1980,142257
KALTENG,MSFT,1985,137971
KALTENG,MSFT,1990,241192
KALTENG,MSFT,1995,325028
KALTENG,MSFT,2000,423014
KALTENG,MSFT,2005,393828
KALTENG,MSFT,2010,526737
KALTENG,MSFT,2015,527473
KALTIM,MSFT,1971,40857
KALTIM,MSFT,1980,296963
KALTIM,MSFT,1985,384418
KALTIM,MSFT,1990,604549
KALTIM,MSFT,1995,741109
KALTIM,MSFT,2000,856251
KALTIM,MSFT,2005,990736
KALTIM,MSFT,2010,1308485
KALTIM,MSFT,2015,1120017
KALUT,MSFT,2010,0
KALUT,MSFT,2015,189396
KEPRI,MSFT,2000,432725
KEPRI,MSFT,2005,542811
KEPRI,MSFT,2010,801073
KEPRI,MSFT,2015,881035
LAMPUNG,MSFT,1971,1003550
LAMPUNG,MSFT,1980,1793053
LAMPUNG,MSFT,1985,1861253
LAMPUNG,MSFT,1990,1730903
LAMPUNG,MSFT,1995,1923928
LAMPUNG,MSFT,2000,1485218
LAMPUNG,MSFT,2005,1596545
LAMPUNG,MSFT,2010,1463929
LAMPUNG,MSFT,2015,1362387
MALUKU,MSFT,1971,43530
MALUKU,MSFT,1980,130109
MALUKU,MSFT,1985,119244
MALUKU,MSFT,1990,186735
