id_tinggal;id_lahir;prov_tinggal;prov_lahir;Jumlah Migrasi
BENGKULU;BABEL;Gorontalo;Kep  Bangka Belitung;NA
BENGKULU;KEPRI;Gorontalo;Kepulauan Riau;NA
BENGKULU;JAKARTA;Gorontalo;DKI Jakarta;999
BENGKULU;JABAR;Gorontalo;Jawa Barat;1198
BENGKULU;JATENG;Gorontalo;Jawa Tengah;1804
BENGKULU;YOGYA;Gorontalo;DI Yogyakarta;229
BENGKULU;JATIM;Gorontalo;Jawa Timur;6056
BENGKULU;BANTEN;Gorontalo;Banten;16
BENGKULU;BALI;Gorontalo;Bali;190
BENGKULU;NTB;Gorontalo;Nusa Tenggara Barat;54
BENGKULU;NTT;Gorontalo;Nusa Tenggara Timur;263
BENGKULU;KALBAR;Gorontalo;Kalimantan Barat;NA
BENGKULU;KALTENG;Gorontalo;Kalimantan Tengah;NA
BENGKULU;KALSEL;Gorontalo;Kalimantan Selatan;16
BENGKULU;KALTIM;Gorontalo;Kalimantan Timur;183
BENGKULU;KALUT;Gorontalo;Kalimantan Utara;NA
BENGKULU;SULUT;Gorontalo;Sulawesi Utara;10662
BENGKULU;SULTENG;Gorontalo;Sulawesi Tengah;4744
BENGKULU;SULSEL;Gorontalo;Sulawesi Selatan;3888
BENGKULU;SULTENGG;Gorontalo;Sulawesi Tenggara;507
BENGKULU;GORONTALO;Gorontalo;Gorontalo;534475
BENGKULU;SULBARAT;Gorontalo;Sulawesi Barat;37
BENGKULU;MALUKU;Gorontalo;Maluku;408
BENGKULU;MALUT;Gorontalo;Maluku Utara;294
BENGKULU;PAPBAR;Gorontalo;Papua Barat;45
BENGKULU;PAPUA;Gorontalo;Papua;NA
LAMPUNG;ACEH;Jambi;Aceh;4863
LAMPUNG;SUMUT;Jambi;Sumatera Utara;41721
LAMPUNG;SUMBAR;Jambi;Sumatera Barat;46951
LAMPUNG;RIAU;Jambi;Riau;13423
LAMPUNG;JAMBI;Jambi;Jambi;1358258
LAMPUNG;SUMSEL;Jambi;Sumatera Selatan;29086
LAMPUNG;BENGKULU;Jambi;Bengkulu;5138
LAMPUNG;LAMPUNG;Jambi;Lampung;16415
LAMPUNG;BABEL;Jambi;Kep  Bangka Belitung;539
LAMPUNG;KEPRI;Jambi;Kepulauan Riau;817
LAMPUNG;JAKARTA;Jambi;DKI Jakarta;4404
LAMPUNG;JABAR;Jambi;Jawa Barat;23137
LAMPUNG;JATENG;Jambi;Jawa Tengah;118356
LAMPUNG;YOGYA;Jambi;DI Yogyakarta;12049
LAMPUNG;JATIM;Jambi;Jawa Timur;42515
LAMPUNG;BANTEN;Jambi;Banten;1647
LAMPUNG;BALI;Jambi;Bali;147
LAMPUNG;NTB;Jambi;Nusa Tenggara Barat;304
LAMPUNG;NTT;Jambi;Nusa Tenggara Timur;246
LAMPUNG;KALBAR;Jambi;Kalimantan Barat;196
LAMPUNG;KALTENG;Jambi;Kalimantan Tengah;723
LAMPUNG;KALSEL;Jambi;Kalimantan Selatan;661
LAMPUNG;KALTIM;Jambi;Kalimantan Timur;358
LAMPUNG;KALUT;Jambi;Kalimantan Utara;NA
LAMPUNG;SULUT;Jambi;Sulawesi Utara;346
LAMPUNG;SULTENG;Jambi;Sulawesi Tengah;NA
LAMPUNG;SULSEL;Jambi;Sulawesi Selatan;10446
LAMPUNG;SULTENGG;Jambi;Sulawesi Tenggara;166
LAMPUNG;GORONTALO;Jambi;Gorontalo;NA
LAMPUNG;SULBARAT;Jambi;Sulawesi Barat;NA
LAMPUNG;MALUKU;Jambi;Maluku;250
LAMPUNG;MALUT;Jambi;Maluku Utara;NA
LAMPUNG;PAPBAR;Jambi;Papua Barat;NA
LAMPUNG;PAPUA;Jambi;Papua;46
BABEL;ACEH;Jawa Barat;Aceh;13082
BABEL;SUMUT;Jawa Barat;Sumatera Utara;150081
BABEL;SUMBAR;Jawa Barat;Sumatera Barat;92913
BABEL;RIAU;Jawa Barat;Riau;11671
BABEL;JAMBI;Jawa Barat;Jambi;13835
BABEL;SUMSEL;Jawa Barat;Sumatera Selatan;50375
BABEL;BENGKULU;Jawa Barat;Bengkulu;7130
BABEL;LAMPUNG;Jawa Barat;Lampung;52184
BABEL;BABEL;Jawa Barat;Kep  Bangka Belitung;9776
BABEL;KEPRI;Jawa Barat;Kepulauan Riau;4591
BABEL;JAKARTA;Jawa Barat;DKI Jakarta;832271
BABEL;JABAR;Jawa Barat;Jawa Barat;21081537
BABEL;JATENG;Jawa Barat;Jawa Tengah;824821
BABEL;YOGYA;Jawa Barat;DI Yogyakarta;96423
BABEL;JATIM;Jawa Barat;Jawa Timur;243463
BABEL;BANTEN;Jawa Barat;Banten;86423
BABEL;BALI;Jawa Barat;Bali;6322
BABEL;NTB;Jawa Barat;Nusa Tenggara Barat;10316
BABEL;NTT;Jawa Barat;Nusa Tenggara Timur;8192
BABEL;KALBAR;Jawa Barat;Kalimantan Barat;15327
BABEL;KALTENG;Jawa Barat;Kalimantan Tengah;2803
BABEL;KALSEL;Jawa Barat;Kalimantan Selatan;4662
BABEL;KALTIM;Jawa Barat;Kalimantan Timur;4700
BABEL;KALUT;Jawa Barat;Kalimantan Utara;582
BABEL;SULUT;Jawa Barat;Sulawesi Utara;7732
BABEL;SULTENG;Jawa Barat;Sulawesi Tengah;1976
BABEL;SULSEL;Jawa Barat;Sulawesi Selatan;22422
BABEL;SULTENGG;Jawa Barat;Sulawesi Tenggara;1893
BABEL;GORONTALO;Jawa Barat;Gorontalo;3173
BABEL;SULBARAT;Jawa Barat;Sulawesi Barat;NA
BABEL;MALUKU;Jawa Barat;Maluku;7700
BABEL;MALUT;Jawa Barat;Maluku Utara;908
BABEL;PAPBAR;Jawa Barat;Papua Barat;303
BABEL;PAPUA;Jawa Barat;Papua;1488
KEPRI;ACEH;Jawa Tengah;Aceh;2096
KEPRI;SUMUT;Jawa Tengah;Sumatera Utara;12866
KEPRI;SUMBAR;Jawa Tengah;Sumatera Barat;7634
KEPRI;RIAU;Jawa Tengah;Riau;3342
KEPRI;JAMBI;Jawa Tengah;Jambi;3565
KEPRI;SUMSEL;Jawa Tengah;Sumatera Selatan;12612
KEPRI;BENGKULU;Jawa Tengah;Bengkulu;3005
KEPRI;LAMPUNG;Jawa Tengah;Lampung;15123
KEPRI;BABEL;Jawa Tengah;Kep  Bangka Belitung;1556
KEPRI;KEPRI;Jawa Tengah;Kepulauan Riau;4639
KEPRI;JAKARTA;Jawa Tengah;DKI Jakarta;64738
KEPRI;JABAR;Jawa Tengah;Jawa Barat;112457
KEPRI;JATENG;Jawa Tengah;Jawa Tengah;16233438
KEPRI;YOGYA;Jawa Tengah;DI Yogyakarta;71950
KEPRI;JATIM;Jawa Tengah;Jawa Timur;132424
KEPRI;BANTEN;Jawa Tengah;Banten;21223
KEPRI;BALI;Jawa Tengah;Bali;1368
KEPRI;NTB;Jawa Tengah;Nusa Tenggara Barat;1786
KEPRI;NTT;Jawa Tengah;Nusa Tenggara Timur;1088
KEPRI;KALBAR;Jawa Tengah;Kalimantan Barat;4409
KEPRI;KALTENG;Jawa Tengah;Kalimantan Tengah;3117
KEPRI;KALSEL;Jawa Tengah;Kalimantan Selatan;4012
KEPRI;KALTIM;Jawa Tengah;Kalimantan Timur;3821
KEPRI;KALUT;Jawa Tengah;Kalimantan Utara;540
KEPRI;SULUT;Jawa Tengah;Sulawesi Utara;3427
KEPRI;SULTENG;Jawa Tengah;Sulawesi Tengah;506
KEPRI;SULSEL;Jawa Tengah;Sulawesi Selatan;3232
KEPRI;SULTENGG;Jawa Tengah;Sulawesi Tenggara;1697
KEPRI;GORONTALO;Jawa Tengah;Gorontalo;111
KEPRI;SULBARAT;Jawa Tengah;Sulawesi Barat;256
KEPRI;MALUKU;Jawa Tengah;Maluku;1691
KEPRI;MALUT;Jawa Tengah;Maluku Utara;417
KEPRI;PAPBAR;Jawa Tengah;Papua Barat;242
KEPRI;PAPUA;Jawa Tengah;Papua;3513
JAKARTA;ACEH;Jawa Timur;Aceh;2363
JAKARTA;SUMUT;Jawa Timur;Sumatera Utara;12888
JAKARTA;SUMBAR;Jawa Timur;Sumatera Barat;3375
JAKARTA;RIAU;Jawa Timur;Riau;6848
JAKARTA;JAMBI;Jawa Timur;Jambi;2819
JAKARTA;SUMSEL;Jawa Timur;Sumatera Selatan;9162
JAKARTA;BENGKULU;Jawa Timur;Bengkulu;801
JAKARTA;LAMPUNG;Jawa Timur;Lampung;10243
JAKARTA;BABEL;Jawa Timur;Kep  Bangka Belitung;1282
JAKARTA;KEPRI;Jawa Timur;Kepulauan Riau;3292
JAKARTA;JAKARTA;Jawa Timur;DKI Jakarta;29765
JAKARTA;JABAR;Jawa Timur;Jawa Barat;45139
JAKARTA;JATENG;Jawa Timur;Jawa Tengah;184816
JAKARTA;YOGYA;Jawa Timur;DI Yogyakarta;22184
JAKARTA;JATIM;Jawa Timur;Jawa Timur;18706523
JAKARTA;BANTEN;Jawa Timur;Banten;5436
JAKARTA;BALI;Jawa Timur;Bali;15328
JAKARTA;NTB;Jawa Timur;Nusa Tenggara Barat;9826
JAKARTA;NTT;Jawa Timur;Nusa Tenggara Timur;14619
JAKARTA;KALBAR;Jawa Timur;Kalimantan Barat;6525
JAKARTA;KALTENG;Jawa Timur;Kalimantan Tengah;4291
JAKARTA;KALSEL;Jawa Timur;Kalimantan Selatan;9281
JAKARTA;KALTIM;Jawa Timur;Kalimantan Timur;12784
JAKARTA;KALUT;Jawa Timur;Kalimantan Utara;1534
JAKARTA;SULUT;Jawa Timur;Sulawesi Utara;4506
JAKARTA;SULTENG;Jawa Timur;Sulawesi Tengah;1371
JAKARTA;SULSEL;Jawa Timur;Sulawesi Selatan;11500
JAKARTA;SULTENGG;Jawa Timur;Sulawesi Tenggara;1246
JAKARTA;GORONTALO;Jawa Timur;Gorontalo;1866
JAKARTA;SULBARAT;Jawa Timur;Sulawesi Barat;543
JAKARTA;MALUKU;Jawa Timur;Maluku;6399
JAKARTA;MALUT;Jawa Timur;Maluku Utara;780
JAKARTA;PAPBAR;Jawa Timur;Papua Barat;447
JAKARTA;PAPUA;Jawa Timur;Papua;4460
JABAR;ACEH;Kalimantan Barat;Aceh;313
JABAR;SUMUT;Kalimantan Barat;Sumatera Utara;8562
JABAR;SUMBAR;Kalimantan Barat;Sumatera Barat;3118
JABAR;RIAU;Kalimantan Barat;Riau;1047
JABAR;JAMBI;Kalimantan Barat;Jambi;526
JABAR;SUMSEL;Kalimantan Barat;Sumatera Selatan;1222
JABAR;BENGKULU;Kalimantan Barat;Bengkulu;177
JABAR;LAMPUNG;Kalimantan Barat;Lampung;1862
JABAR;BABEL;Kalimantan Barat;Kep  Bangka Belitung;424
JABAR;KEPRI;Kalimantan Barat;Kepulauan Riau;673
JABAR;JAKARTA;Kalimantan Barat;DKI Jakarta;4525
JABAR;JABAR;Kalimantan Barat;Jawa Barat;17845
JABAR;JATENG;Kalimantan Barat;Jawa Tengah;52501
JABAR;YOGYA;Kalimantan Barat;DI Yogyakarta;8027
JABAR;JATIM;Kalimantan Barat;Jawa Timur;47378
JABAR;BANTEN;Kalimantan Barat;Banten;2438
JABAR;BALI;Kalimantan Barat;Bali;501
JABAR;NTB;Kalimantan Barat;Nusa Tenggara Barat;3009
