id_tinggal;id_lahir;prov_tinggal;prov_lahir;Jumlah Migrasi
SUMSEL;NTB;DKIJakarta;NusaTenggaraBarat;7070
SUMSEL;NTT;DKIJakarta;NusaTenggaraTimur;5353
SUMSEL;KALBAR;DKIJakarta;KalimantanBarat;29797
SUMSEL;KALTENG;DKIJakarta;KalimantanTengah;1658
SUMSEL;KALSEL;DKIJakarta;KalimantanSelatan;2926
SUMSEL;KALTIM;DKIJakarta;KalimantanTimur;2498
SUMSEL;KALUT;DKIJakarta;KalimantanUtara; NA
SUMSEL;SULUT;DKIJakarta;SulawesiUtara;6614
SUMSEL;SULTENG;DKIJakarta;SulawesiTengah;649
SUMSEL;SULSEL;DKIJakarta;SulawesiSelatan;25782
SUMSEL;SULTENGG;DKIJakarta;SulawesiTenggara;1943
SUMSEL;GORONTALO;DKIJakarta;Gorontalo;904
SUMSEL;SULBARAT;DKIJakarta;SulawesiBarat;161
SUMSEL;MALUKU;DKIJakarta;Maluku;6406
SUMSEL;MALUT;DKIJakarta;MalukuUtara;2689
SUMSEL;PAPBAR;DKIJakarta;PapuaBarat;1047
SUMSEL;PAPUA;DKIJakarta;Papua;473
BENGKULU;ACEH;Gorontalo;Aceh; NA
BENGKULU;SUMUT;Gorontalo;SumateraUtara;130
BENGKULU;SUMBAR;Gorontalo;SumateraBarat;255
BENGKULU;RIAU;Gorontalo;Riau; NA
BENGKULU;JAMBI;Gorontalo;Jambi; NA
BENGKULU;SUMSEL;Gorontalo;SumateraSelatan;204
BENGKULU;BENGKULU;Gorontalo;Bengkulu; NA
BENGKULU;LAMPUNG;Gorontalo;Lampung; NA
BENGKULU;BABEL;Gorontalo;Kep.BangkaBelitung; NA
BENGKULU;KEPRI;Gorontalo;KepulauanRiau; NA
BENGKULU;JAKARTA;Gorontalo;DKIJakarta;566
BENGKULU;JABAR;Gorontalo;JawaBarat;811
BENGKULU;JATENG;Gorontalo;JawaTengah;1845
BENGKULU;YOGYA;Gorontalo;DIYogyakarta; NA
BENGKULU;JATIM;Gorontalo;JawaTimur;5053
BENGKULU;BANTEN;Gorontalo;Banten;8
BENGKULU;BALI;Gorontalo;Bali;246
BENGKULU;NTB;Gorontalo;NusaTenggaraBarat;17
BENGKULU;NTT;Gorontalo;NusaTenggaraTimur;146
BENGKULU;KALBAR;Gorontalo;KalimantanBarat;121
BENGKULU;KALTENG;Gorontalo;KalimantanTengah; NA
BENGKULU;KALSEL;Gorontalo;KalimantanSelatan; NA
BENGKULU;KALTIM;Gorontalo;KalimantanTimur;12
BENGKULU;KALUT;Gorontalo;KalimantanUtara;14
BENGKULU;SULUT;Gorontalo;SulawesiUtara;12570
BENGKULU;SULTENG;Gorontalo;SulawesiTengah;5891
BENGKULU;SULSEL;Gorontalo;SulawesiSelatan;2681
BENGKULU;SULTENGG;Gorontalo;SulawesiTenggara;353
BENGKULU;GORONTALO;Gorontalo;Gorontalo;532747
BENGKULU;SULBARAT;Gorontalo;SulawesiBarat;91
BENGKULU;MALUKU;Gorontalo;Maluku;152
BENGKULU;MALUT;Gorontalo;MalukuUtara;633
BENGKULU;PAPBAR;Gorontalo;PapuaBarat;70
BENGKULU;PAPUA;Gorontalo;Papua;79
LAMPUNG;ACEH;Jambi;Aceh;3211
LAMPUNG;SUMUT;Jambi;SumateraUtara;37660
LAMPUNG;SUMBAR;Jambi;SumateraBarat;43746
LAMPUNG;RIAU;Jambi;Riau;13451
LAMPUNG;JAMBI;Jambi;Jambi;1328478
LAMPUNG;SUMSEL;Jambi;SumateraSelatan;27783
LAMPUNG;BENGKULU;Jambi;Bengkulu;3816
LAMPUNG;LAMPUNG;Jambi;Lampung;16191
LAMPUNG;BABEL;Jambi;Kep.BangkaBelitung;1137
LAMPUNG;KEPRI;Jambi;KepulauanRiau;1199
LAMPUNG;JAKARTA;Jambi;DKIJakarta;3071
LAMPUNG;JABAR;Jambi;JawaBarat;23411
LAMPUNG;JATENG;Jambi;JawaTengah;103049
LAMPUNG;YOGYA;Jambi;DIYogyakarta;10820
LAMPUNG;JATIM;Jambi;JawaTimur;33860
LAMPUNG;BANTEN;Jambi;Banten;1085
LAMPUNG;BALI;Jambi;Bali;15
LAMPUNG;NTB;Jambi;NusaTenggaraBarat;9
LAMPUNG;NTT;Jambi;NusaTenggaraTimur; NA
LAMPUNG;KALBAR;Jambi;KalimantanBarat;99
LAMPUNG;KALTENG;Jambi;KalimantanTengah;708
LAMPUNG;KALSEL;Jambi;KalimantanSelatan;405
LAMPUNG;KALTIM;Jambi;KalimantanTimur;249
LAMPUNG;KALUT;Jambi;KalimantanUtara; NA
LAMPUNG;SULUT;Jambi;SulawesiUtara;191
LAMPUNG;SULTENG;Jambi;SulawesiTengah;94
LAMPUNG;SULSEL;Jambi;SulawesiSelatan;9799
LAMPUNG;SULTENGG;Jambi;SulawesiTenggara; NA
LAMPUNG;GORONTALO;Jambi;Gorontalo; NA
LAMPUNG;SULBARAT;Jambi;SulawesiBarat;82
LAMPUNG;MALUKU;Jambi;Maluku;159
LAMPUNG;MALUT;Jambi;MalukuUtara; NA
LAMPUNG;PAPBAR;Jambi;PapuaBarat; NA
LAMPUNG;PAPUA;Jambi;Papua; NA
BABEL;ACEH;JawaBarat;Aceh;8861
BABEL;SUMUT;JawaBarat;SumateraUtara;134325
BABEL;SUMBAR;JawaBarat;SumateraBarat;88149
BABEL;RIAU;JawaBarat;Riau;8533
BABEL;JAMBI;JawaBarat;Jambi;6575
BABEL;SUMSEL;JawaBarat;SumateraSelatan;56486
BABEL;BENGKULU;JawaBarat;Bengkulu;7502
BABEL;LAMPUNG;JawaBarat;Lampung;57064
BABEL;BABEL;JawaBarat;Kep.BangkaBelitung;12442
BABEL;KEPRI;JawaBarat;KepulauanRiau;2884
BABEL;JAKARTA;JawaBarat;DKIJakarta;761379
BABEL;JABAR;JawaBarat;JawaBarat;20625136
BABEL;JATENG;JawaBarat;JawaTengah;755261
BABEL;YOGYA;JawaBarat;DIYogyakarta;88516
BABEL;JATIM;JawaBarat;JawaTimur;198037
BABEL;BANTEN;JawaBarat;Banten;84922
BABEL;BALI;JawaBarat;Bali;4794
BABEL;NTB;JawaBarat;NusaTenggaraBarat;8362
BABEL;NTT;JawaBarat;NusaTenggaraTimur;8447
BABEL;KALBAR;JawaBarat;KalimantanBarat;16514
BABEL;KALTENG;JawaBarat;KalimantanTengah;1559
BABEL;KALSEL;JawaBarat;KalimantanSelatan;4911
BABEL;KALTIM;JawaBarat;KalimantanTimur;5746
BABEL;KALUT;JawaBarat;KalimantanUtara;2994
