"","prov_tinggal","prov_lahir","Jumlah_Migrasi","lat_tinggal","long_tinggal","id_tinggal","lat_lahir","long_lahir","id_lahir"
"147","Sulawesi Tengah","Bali",64718,-1.4300254,121.4456179,72,-8.4095178,115.188916,51
"148","Sulawesi Tengah","Sulawesi Utara",26578,-1.4300254,121.4456179,72,0.6246932,123.9750018,71
"149","Sulawesi Tengah","Sulawesi Selatan",177242,-1.4300254,121.4456179,72,-3.6687994,119.9740534,73
"150","Sulawesi Tengah","Gorontalo",28639,-1.4300254,121.4456179,72,0.6999372,122.4467238,75
"151","Sulawesi Tengah","Sulawesi Barat",18982,-1.4300254,121.4456179,72,-2.8441371,119.2320784,76
"152","Sulawesi Tenggara","Bali",25400,-4.14491,122.174605,74,-8.4095178,115.188916,51
"153","Sulawesi Tenggara","Sulawesi Tengah",11027,-4.14491,122.174605,74,-1.4300254,121.4456179,72
"154","Sulawesi Tenggara","Sulawesi Selatan",249361,-4.14491,122.174605,74,-3.6687994,119.9740534,73
"155","Sulawesi Tenggara","Sulawesi Barat",11552,-4.14491,122.174605,74,-2.8441371,119.2320784,76
"156","Sulawesi Tenggara","Maluku",27651,-4.14491,122.174605,74,-3.2384616,130.1452734,81
"157","Sulawesi Utara","Sulawesi Tengah",18246,0.6246932,123.9750018,71,-1.4300254,121.4456179,72
"158","Sulawesi Utara","Gorontalo",49344,0.6246932,123.9750018,71,0.6999372,122.4467238,75
"159","Sulawesi Utara","Maluku Utara",14979,0.6246932,123.9750018,71,1.5709993,127.8087693,82
"160","Sulawesi Utara","Papua Barat",3349,0.6246932,123.9750018,71,-1.3361154,133.1747162,91
"161","Sumatera Barat","Riau",47743,-0.7399397,100.8000051,13,0.2933469,101.7068294,14
"162","Sumatera Barat","Jambi",31345,-0.7399397,100.8000051,13,-1.4851831,102.4380581,15
"163","Sumatera Barat","Kepulauan Riau",8553,-0.7399397,100.8000051,13,3.9456514,108.1428669,21
"164","Sumatera Selatan","Jambi",23766,-3.3194374,103.914399,16,-1.4851831,102.4380581,15
"165","Sumatera Selatan","Bengkulu",23868,-3.3194374,103.914399,16,-3.5778471,102.3463875,17
"166","Sumatera Selatan","Lampung",140902,-3.3194374,103.914399,16,-4.5585849,105.4068079,18
"167","Sumatera Selatan","Banten",28332,-3.3194374,103.914399,16,-6.4058172,106.0640179,36
"168","Sumatera Utara","Aceh",105306,2.1153547,99.5450974,12,4.695135,96.7493993,11
"169","Sumatera Utara","Riau",51506,2.1153547,99.5450974,12,0.2933469,101.7068294,14
"170","Sumatera Utara","Kepulauan Riau",10032,2.1153547,99.5450974,12,3.9456514,108.1428669,21
